auraient	-0.701466344768	13	7	13	7	8.19826962714	7.81772163762	0.0542725479151
relire	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
enquête	-1.56529102921	25	11	25	11	7.54619293056	6.87430516598	0.0604124787779
mobilité	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
contextes	0.699521219713	14	12	14	12	7.42066204847	7.7108064337	0.458327221418
quotidien	0.895741622679	17	15	17	15	7.09873395359	7.43069851451	0.527440625463
rayon	-0.588622038268	6	3	6	3	9.42066204847	8.93319885504	0.05
distingue	-0.409905646265	7	4	7	4	9.00562454919	8.7108064337	0.0647718639657
idéal	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
actuelle	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
kasbah	-0.10051674049	6	4	6	4	9.00562454919	8.93319885504	0.131704165946
interprètes	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
entretien	0.699521219713	14	12	14	12	7.42066204847	7.7108064337	0.458327221418
musicien	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
colonie	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
fondant	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
concurrentes	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
du_moins	-0.256482687543	11	7	11	7	8.19826962714	8.05872973712	0.104339695399
how	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
quoique	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
arménien	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
empereur	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
réalisateur	1.01150980398	8	8	8	8	8.00562454919	8.51816135576	0.05
front	-0.00374086499447	11	7	10	7	8.19826962714	8.19623326087	0.168709100769
grâce_aux	-0.861880556225	8	3	7	3	9.42066204847	8.7108064337	0.0647718639657
quoi	-0.487794920746	12	7	12	7	8.19826962714	7.93319885504	0.0701312433488
principaux	1.07305160575	9	9	9	9	7.83569954775	8.34823635431	0.05
intellectuels	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
autonome	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
tabac	-0.10051674049	8	6	6	4	9.00562454919	8.93319885504	0.131704165946
médiévale	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
permettrait	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
description	-0.67991451476	8	4	8	4	9.00562454919	8.51816135576	0.05
exposé	-1.07672733605	6	2	6	2	10.0056245492	8.93319885504	0.131704165946
funny	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
saura	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
communes	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
